City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,asau,46.4333,26.4,31.28,100,100,2.57,RO,1668983603
280,puerto madryn,-42.7692,-65.0385,56.8,46,2,16.98,AR,1668983603
281,oussouye,12.485,-16.5469,73.49,59,100,6.22,SN,1668983604
282,minusio,46.1777,8.8147,45.45,63,55,3.44,CH,1668983605
283,zelenoborskiy,66.845,32.3622,19.51,94,71,1.57,RU,1668983605
284,road town,18.4167,-64.6167,78.89,94,75,9.22,VG,1668983591
285,dalianwan,39.0286,121.695,48.24,81,100,6.71,CN,1668983606
286,richards bay,-28.783,32.0377,62.83,74,2,2.98,ZA,1668983607
287,flin flon,54.7682,-101.865,22.84,80,75,13.8,CA,1668983434
288,palimbang,6.2106,124.1894,82.29,74,93,2.42,PH,1668983608
289,arlit,18.7369,7.3853,73.63,13,72,9.6,NE,1668983608
290,siniscola,40.5719,9.6922,53.15,60,12,15.32,IT,1668983609
291,witu,-2.3889,40.4382,75.81,92,100,5.28,KE,1668983609
292,bud,39.447,-86.1758,33.31,31,2,6.33,US,1668983610
293,makakilo city,21.3469,-158.0858,82.72,56,20,21.85,US,1668983611
294,bac lieu,9.285,105.7244,74.17,97,100,9.51,VN,1668983403
295,mahebourg,-20.4081,57.7,72.25,83,75,5.75,MU,1668983612
296,ust-tsilma,65.441,52.1498,33.49,97,100,9.33,RU,1668983612
297,wanning,18.8003,110.3967,75.83,93,99,10.65,CN,1668983613
298,pampa,35.5362,-100.9599,54.57,22,0,11.5,US,1668983469
299,cacapava do sul,-30.5122,-53.4914,73.13,49,100,3.11,BR,1668983614
300,mehamn,71.0357,27.8492,37.35,81,75,9.22,NO,1668983614
301,ileza,61.0533,43.9002,9.97,95,8,2.48,RU,1668983615
302,qui nhon,13.7667,109.2333,74.37,94,100,6.08,VN,1668983615
303,vieques,18.425,-65.8329,82.42,74,40,13.8,PR,1668983616
304,balaipungut,1.05,101.2833,72.09,97,91,2.37,ID,1668983617
305,te anau,-45.4167,167.7167,60.44,74,100,2.59,NZ,1668983573
306,mount gambier,-37.8333,140.7667,49.5,74,88,17.27,AU,1668983617
307,leshukonskoye,64.8989,45.7622,29.89,95,100,6.96,RU,1668983589
308,katunino,64.3862,40.6298,24.69,90,100,3.96,RU,1668983597
309,korla,41.7597,86.1469,34.3,42,8,3.4,CN,1668983619
310,saint-paul,-21.0096,55.2707,71.71,77,7,12.8,RE,1668983619
311,seoul,37.5683,126.9778,47.64,91,75,2.3,KR,1668983620
312,tuktoyaktuk,69.4541,-133.0374,21.2,93,100,8.05,CA,1668983621
313,lensk,60.7253,114.9278,-22.49,100,58,2.75,RU,1668983621
314,tacuarembo,-31.7333,-55.9833,82.6,40,100,5.12,UY,1668983528
315,panubigan,7.4281,123.3466,79.83,81,94,5.79,PH,1668983622
316,fortuna,40.5982,-124.1573,60.93,65,0,8.05,US,1668983623
317,kawalu,-7.3817,108.2082,72.77,88,97,0.98,ID,1668983624
318,klyuchi,52.2667,79.1667,7.93,77,41,5.73,RU,1668983625
319,gizo,-8.103,156.8419,84.63,61,27,9.86,SB,1668983625
320,saint-joseph,-21.3667,55.6167,70.18,80,26,2.37,RE,1668983626
321,norman wells,65.282,-126.8329,19.44,93,75,6.91,CA,1668983626
322,lorengau,-2.0226,147.2712,84.92,63,86,9.62,PG,1668983627
323,angoche,-16.2325,39.9086,75.79,83,6,5.91,MZ,1668983627
324,banda aceh,5.5577,95.3222,78.51,81,100,11.63,ID,1668983628
325,mangrol,21.1167,70.1167,72.12,44,0,8.08,IN,1668983629
326,broome,42.2506,-75.833,26.46,62,75,11.5,US,1668983629
327,kuah,6.3265,99.8432,80.58,89,20,0.0,MY,1668983630
328,novikovo,51.1537,37.8879,30.09,97,100,12.62,RU,1668983630
329,saint-georges,12.0564,-61.7485,80.28,78,40,11.5,GD,1668983631
330,mantua,45.1667,10.7833,41.95,79,50,4.07,IT,1668983378
331,houma,29.5958,-90.7195,55.0,59,0,11.5,US,1668983632
332,presidencia roque saenz pena,-26.7852,-60.4388,70.0,96,100,6.31,AR,1668983633
333,ban tak,17.0432,99.0813,74.21,93,4,2.1,TH,1668983633
334,bushehr,28.9684,50.8385,69.89,68,0,11.5,IR,1668983634
335,karratha,-20.7377,116.8463,82.08,29,100,6.71,AU,1668983635
336,lieksa,63.3167,30.0167,21.69,89,11,3.44,FI,1668983635
337,santa fe,-31.6333,-60.7,79.02,40,100,2.01,AR,1668983377
338,boulder city,35.9786,-114.8325,60.22,13,0,5.75,US,1668983636
339,krotovka,53.2858,51.1686,25.83,95,100,3.65,RU,1668983637
340,malanje,-9.5402,16.341,64.33,98,81,1.21,AO,1668983637
341,hofn,64.2539,-15.2082,45.25,77,100,10.51,IS,1668983638
342,narsaq,60.9167,-46.05,26.82,85,100,4.85,GL,1668983638
343,baikunthpur,23.25,82.55,52.95,59,66,1.99,IN,1668983639
344,acari,-15.4311,-74.6158,71.22,65,83,5.3,PE,1668983640
345,port keats,-14.25,129.55,82.9,70,90,7.9,AU,1668983640
346,beringovskiy,63.05,179.3167,-2.87,89,27,20.71,RU,1668983641
347,alice springs,-23.7,133.8833,71.15,30,97,9.22,AU,1668983477
348,malim,7.452,123.4312,80.82,79,95,6.06,PH,1668983642
349,sao filipe,14.8961,-24.4956,76.53,66,88,15.59,CV,1668983642
350,yulara,-25.2406,130.9889,72.63,24,96,14.58,AU,1668983643
351,san cristobal,7.7669,-72.225,71.78,96,72,0.63,VE,1668983644
352,ambon,-3.6954,128.1814,77.14,94,40,6.91,ID,1668983644
353,danshui,22.7984,114.4672,70.34,87,17,3.94,CN,1668983645
354,astoria,46.1879,-123.8313,53.92,52,0,4.61,US,1668983432
355,bronnoysund,65.4625,12.1997,32.0,93,4,2.3,NO,1668983646
356,sinnar,13.5691,33.5672,79.5,34,1,10.69,SD,1668983646
357,pendleton,45.6721,-118.7886,48.6,86,100,0.0,US,1668983647
358,lagoa,39.05,-27.9833,64.2,96,98,16.75,PT,1668983647
359,duldurga,50.6761,113.5931,-0.11,97,11,3.42,RU,1668983648
360,gao,16.6362,1.637,73.17,12,88,10.85,ML,1668983649
361,sabzevar,36.2126,57.6819,45.68,57,0,9.22,IR,1668983649
362,hudson bay,52.85,-102.3842,21.92,84,86,9.01,CA,1668983650
363,pangnirtung,66.1451,-65.7125,-1.73,64,22,6.98,CA,1668983650
